博主,ID,发布时间,页码,链接,正文
柯中,381026955,2026-03-25 11:13,1/101,https://xueqiu.com/5243796549/381026955,"霍尔木兹，20%的原油供应占比，全球大部分国家3-5个月储量。目前封1个月上涨40%左右
津巴布韦全球11%的锂供应，国内锂盐完全产业链库存不到1个月，每个环节1-2周的库存，因为运输问题，所以津巴布韦的几个锂矿公司锂精矿库存2-3个月。
目前封停1个月，碳酸锂合约下跌-8%。
碳酸锂多头是有多怂？
关键是没有这个因素影响，都已经出现供需错配，开始供不应求了，现在这个还来干扰供需。价格还拿不下20w？
$赣锋锂业(SZ002460)$
霍尔木兹，20%的原油供应占比，全球大部分国家3-5个月储量。目前封1个月上涨40%左右
津巴布韦全球11%的锂供应，国内锂盐完全产业链库存不到1个月，每个环节1-2周的库存，因为运输问题，所以津巴布韦的几个锂矿公司锂精矿库存2-3个月。
目前封停1个月，碳酸锂合约下跌-8%。
碳酸锂多头..."
柯中,380953586,2026-03-24 22:11,1/101,https://xueqiu.com/5243796549/380953586,"实际上从昨天蓉姐的年报就看出来，哪怕是直接卖锂精矿，这利润也是炸裂。
按照蓉姐这个产能，今年单纯卖锂精矿，按照均价16w左右的碳酸锂，对应的利润也有16-18E了，估值是个位数偏低的。这个地方说明一个点，有矿的公司，卖锂精矿和卖锂盐利润基本没有太大差异。
而津巴布韦的事情，我们还希望能在5-6月再去解决，因为这样的话，这后面4-5月开始市场就会预期这个缺口极大。今年导致缺口预期的是津巴布韦这个表内接近23吨的量，第二就是江西的几个矿有停产预期的，另外还有jxw这个矿今年拿不到证。这些都是在表内供给里面，会成为今年影响价格的主要因素。
而津巴布韦这个锂矿出不来导致碳酸锂价格可能直接冲过20w，来到20-25w的区间，会极大的带动今年锂矿板块的业绩预期。
而等到5月份那边谈妥了，在通过锂精矿出来，这4家企业拿到锂精矿，但是今年的锂盐产能肯定是匹配不到自己的锂精矿的量了，那么就可以直接学蓉姐一样，把锂精矿卖给那些需要加工的企业，利润和锂盐厂没什么区别。
所以可以确定：
1、津巴布韦的这个影响只是短期的一个心里博弈，因为已经停了一个月了，对国内的供需错配来说会有一些影响，会影响库存数，后面库存数据会进一步下降。
2、停的时间越久，对价格影响越大，因为占比实在太高。
3、晚点能解决，并不影响任何公司今年内的业绩，反而产品留着后面高价出售，单纯的出售锂精矿都可以获得更高的收益，业绩指引反而更高了。（因为运回来国内价格已经20w+，本来不禁的话，还有一部分卖15-17w的低价的）
加上需求端的继续炸裂，大东时代智库（TD）通过对行业Top20电池厂调研数据显示，2026年4月中国锂电（储能+动力+消费）市场排产总量约235GWh，环比增7.3%，其中储能电芯排产占比提升至41.3%，三元电芯排产占比微降至14.6%；锂电池A排产量88.5GWh，锂电池B排产量28.5GWh，锂电池C排产量16.0GWh。2026年4月全球市场动力+储能+消费类电池产量248GWh左右，环比增6.9%。
短空长多，锂矿板块目前已经成为市场上目前看预期差最大的方向，整个锂矿方向我们还是认为是一荣俱荣的，如果能成为市场上最靓的仔，那么涨跌不分先后，只要是好公司，最终涨幅差异不会太大。因为把一些个股拉上去明显后，市场认可了这个方向，自然会有资金跑来做补涨和价值发现的。
$中矿资源(SZ002738)$$华友钴业(SH603799)$$融捷股份(SZ002192)$
实际上从昨天蓉姐的年报就看出来，哪怕是直接卖锂精矿，这利润也是炸裂。
按照蓉姐这个产能，今年单纯卖锂精矿，按照均价16w左右的碳酸锂，对应的利润也有16-18E了，估值是个位数偏低的。这个地方说明一个点，有矿的公司，卖锂精矿和卖锂盐利润基本没有太大差异。
而津巴布韦的事情，我们..."
柯中,380783937,2026-03-23 23:46,1/101,https://xueqiu.com/5243796549/380783937,紫金说了算不算？ 好像上次老李说如果今年增速30%，价格20w打不住。 $赣锋锂业(SZ002460)$$宁德时代(SZ300750)$
PaulWu,381203944,2026-03-26 10:29,1/184,https://xueqiu.com/1965894836/381203944,写文章的把中国餐饮差归在平台对外卖和到店的补贴上，没有的时候可以看看是不是平台的锅。
PaulWu,381133360,2026-03-25 20:52,1/184,https://xueqiu.com/1965894836/381133360,所以投资一直也是管理预期的游戏，预期决定仓位和节奏，聪明人预期太高，仓位太满，有时未必如一个拥有平常心的普通人。
PaulWu,381130081,2026-03-25 20:28,1/184,https://xueqiu.com/1965894836/381130081,今天出业绩的两个公司，投资者有共同的亏钱之道：好生意势能最好的时候线性外推，预期极高，忽略产业规律，经营常识；甚至两家公司管理层都预警过，但拒绝相信，互相吹捧打气，预期越吹越高，一旦MISS又再次线性外推，慌不择路，打入尘埃。
PaulWu,381024009,2026-03-25 11:02,1/184,https://xueqiu.com/1965894836/381024009,看到财主又被某粉围攻，我下头的点一直不是一个企业（企业家）是否犯错，而是对错误的态度，是不是一路人很容易区别，别看怎么说，看怎么做就可以了。在那些灰色地带，是选择召回、退款，赢得消费者长期信心，还是选择短期利益，无关对错，只是选择。
PaulWu,380961172,2026-03-24 23:09,1/184,https://xueqiu.com/1965894836/380961172,更多的财富对我以及我们很多投资人其实只是一张游戏记分牌，相比数字的增长，要珍惜游戏本身的乐趣。
PaulWu,380782141,2026-03-23 23:24,1/184,https://xueqiu.com/1965894836/380782141,"内地服务商，监管等，都没有为一只想立足全球市场的人民币对冲基金做好准备，随着规模变化，我们很多工作是徒劳的，从去年末以来，大量交易是为了所谓腾额度，占额度，而不是为了让持有组合的赔率变得更好，我觉得很疲惫也很惭愧。权宜之计我会和其他服务商多沟通，如果一直得不到稳定的解决，会选择收缩规模。
内地服务商，监管等，都没有为一只想立足全球市场的人民币对冲基金做好准备，随着规模变化，我们很多工作是徒劳的，从去年末以来，大量交易是为了所谓腾额度，占额度，而不是为了让持有组合的赔率变得更好，我觉得很疲惫也很惭愧。权宜之计我会和其他服务商多沟通，如果一直得不到稳定的解决，会选..."
凝视三千弱水的深渊,381153033,2026-03-25 22:59,1/83,https://xueqiu.com/9236758887/381153033,$2倍做多INTC每日ETF(INTW)$ 有人知道是为什么吗？
凝视三千弱水的深渊,381008839,2026-03-25 10:14,1/83,https://xueqiu.com/9236758887/381008839,$金矿指数3倍做多ETN(GDXU)$ 最近把我害惨了，不过股权也多了很多，今年的收益还要看你的脸色了，哈哈哈哈，跌得快，涨得也快，低点上来60%了。川真是处处想着股民
凝视三千弱水的深渊,381006004,2026-03-25 10:06,1/83,https://xueqiu.com/9236758887/381006004,回复@风一样的雪碧: 2元左右西水对我来说是很香的，弹性也够。不行就等明年分红，明年应该0.08-0.10左右，比我预期的晚了一年，2025主要 M23影响了大湖的高利润。埃塞提价慢了一点，老张想趁着免税期把别人都挤死。但是埃塞产能最近也快满了，自然会提价，需求在增长。想想也不容易。一个年需求800-1200万吨的国家，一下子多了个500万吨的水泥厂，还要迅速满产，打消别人的幻想，哈哈哈哈。看莫桑比克就知道了，过了爬坡期，现在活得多滋润，要知道莫桑的竞争局面最差，有华新厂子不说，又是沿海国家，现在反而是利润最好的地方。有一点不清楚，为什么乌干达不官宣，那可是独一份的存在，因为就没有其它矿山可以烧水泥，未来利润自然是好的。其它都是细枝末节。来吧，涨跌随便
凝视三千弱水的深渊,380827143,2026-03-24 10:09,1/83,https://xueqiu.com/9236758887/380827143,$西部水泥(02233)$ 这么被人嫌弃吗？2.06加点，哈哈哈哈
雪月霜,381269002,2026-03-26 15:30,1/1478,https://xueqiu.com/1505944393/381269002,回复@要克服犹豫: 是的啊，25年非洲矿成本做的比澳大利亚都低，导致出现了锂云母成本低于非洲锂辉石，低于澳大利亚锂辉石矿，这合理吗，结果就是国内被查，非洲也开始查了，总不能搞得跟蝗虫一样吧，早就该抓了，碳酸锂锂云母成本做到5～6万，这合理吗，偷挖盗采降本算什么降本
雪月霜,381268398,2026-03-26 14:30,1/1478,https://xueqiu.com/1505944393/381268398,已经不错了，大盘不看下吗
雪月霜,381267978,2026-03-26 14:30,1/1478,https://xueqiu.com/1505944393/381267978,回复@豆子耐心等待: 财报不是早出来了
雪月霜,381252509,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381252509,某些人为何不明白减产增效的逻辑，举个例子当一家企业生产6万吨产能，成本8万，市场价7万，如果因为特熟原因减产到2～3万吨，成本到10～12万，但是市场价格涨到20多万，请问是利多还是利空，明显是利多好吧
雪月霜,381249513,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381249513,回复@momox3: 为什么不是起飞
雪月霜,381249418,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381249418,回复@R的小披萨店: 你为什么觉得这些利空中矿盛新和雅化
雪月霜,381249214,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381249214,没事，继续编，我看4月底怎么办
雪月霜,381248864,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381248864,"回复@龙腾虎跃_2025: 转发碳酸锂传言：有企业反馈，津巴布韦那边要求两点：1）要企业给出明确的硫酸锂厂建设的时间表；2）要实行硫酸锂配额，并且配额在现有的关税上再增加10%的关税，以前他们出口的关税定价基准按照成本价600美金左右计算，后边可能按照硫酸锂市场价计算，这里会有很多成本上的差距，可能是未谈拢的地方
在津巴布韦的中资企业，在4月份冶炼的产能还是基本上满产去开，但是5月开始就会开始缺料，目前矿端的基差已经走强到贴18000，今天有报价贴17000，但未成交，2月的基差在贴19500-20000
这里存在很大的预期差，大家一开始都觉得津巴这个事情影响不大，觉得1个月能搞定，并且也不停产影响产量，实际上对5月开始的国内供给会产生很大的影响，企业有缺矿被动停产的风险，每个月要影响1.5万吨碳酸锂。"
雪月霜,381248743,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381248743,"回复@清纯的致富小雨滴: 转发碳酸锂传言：有企业反馈，津巴布韦那边要求两点：1）要企业给出明确的硫酸锂厂建设的时间表；2）要实行硫酸锂配额，并且配额在现有的关税上再增加10%的关税，以前他们出口的关税定价基准按照成本价600美金左右计算，后边可能按照硫酸锂市场价计算，这里会有很多成本上的差距，可能是未谈拢的地方
在津巴布韦的中资企业，在4月份冶炼的产能还是基本上满产去开，但是5月开始就会开始缺料，目前矿端的基差已经走强到贴18000，今天有报价贴17000，但未成交，2月的基差在贴19500-20000
这里存在很大的预期差，大家一开始都觉得津巴这个事情影响不大，觉得1个月能搞定，并且也不停产影响产量，实际上对5月开始的国内供给会产生很大的影响，企业有缺矿被动停产的风险，每个月要影响1.5万吨碳酸锂。"
雪月霜,381248030,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381248030,"$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$ 如果津巴布韦消息是真的，那基本上可以确定4月底以后碳酸锂价格要上一个台阶，未来除非碳酸锂价格大幅提升，资本性开支都属于不划算了，核心是这不是孤立，最后大家不要瞧不起津巴布韦，目前在国内锂精矿供应占比接近20%，仅次于澳大利亚，最主要的还不是目前占比而是未来，因为今年到明年绝大多数新增产能来源于此，这相当于直接导致明年会供需缺口非常大
$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$ 如果津巴布韦消息是真的，那基本上可以确定4月底以后碳酸锂价格要上一个台阶，未来除非碳酸锂价格大幅提升，资本性开支都属于不划算了，核心是这不是孤立，最后大家不要瞧不起津巴布韦，目前在国内锂精矿供应占比接近20%，仅次于..."
雪月霜,381245685,2026-03-26 13:30,1/1478,https://xueqiu.com/1505944393/381245685,回复@肖宵肖宵: 我说什么了，怎么举报，我什么都没写
雪月霜,381234897,2026-03-26 12:30,1/1478,https://xueqiu.com/1505944393/381234897,回复@博爱的红利小电光: 华友比较激进，扩张较快，上行周期是优点
雪月霜,381233383,2026-03-26 12:30,1/1478,https://xueqiu.com/1505944393/381233383,回复@佛心应世: 首先你买矿跟赌博差不多，到底储量对不对，有的可能更多，有的可能根本就不是，上亿资产老板，因为买矿被套进去的多了去了，这还没算市场，当初有多少老板看铁矿价格高去买铁矿，然后市场崩盘了，直接资产归零，因为矿亏损开采时间长了谁都撑不住，多少钱都不够往里面扔的，停了之后虽然不会亏损，但是重启成本可是很高的
雪月霜,381214067,2026-03-26 10:30,1/1478,https://xueqiu.com/1505944393/381214067,回复@热诚的财富小神童: 不是，我之前说过了
雪月霜,381213454,2026-03-26 10:30,1/1478,https://xueqiu.com/1505944393/381213454,我说过不清楚情况不要乱动，我换是有原因的，实际上我主换的也不是华友，而是某个头部企业，华友是一季度报会非常不错
雪月霜,381212303,2026-03-26 10:30,1/1478,https://xueqiu.com/1505944393/381212303,回复@理查德亨利: 母公司和子公司关系
雪月霜,381211718,2026-03-26 10:30,1/1478,https://xueqiu.com/1505944393/381211718,回复@臧先森: 我只是换了谈不上卖飞吧
雪月霜,381174309,2026-03-26 08:30,1/1478,https://xueqiu.com/1505944393/381174309,回复@黑沙环: 央企应该不会破产倒闭吧
雪月霜,381174202,2026-03-26 08:30,1/1478,https://xueqiu.com/1505944393/381174202,回复@心如止水YY: 是的前提是活下来
雪月霜,381173988,2026-03-26 08:30,2/1478,https://xueqiu.com/1505944393/381173988,$天山股份(SZ000877)$$金隅集团(SH601992)$ 天山股份从24年开始亏损，去年亏损60～70亿，金隅集团实际上从23年就开始亏损了，只是母公司通过调剂呗做到刚刚盈亏平衡，今年预亏9～12亿，请问还能亏几年，在过2年行业低迷，某些企业都要出大问题
雪月霜,381173497,2026-03-26 08:30,2/1478,https://xueqiu.com/1505944393/381173497,$金隅集团(SH601992)$ 这不是稳定要连续亏损三年吗
雪月霜,381172899,2026-03-26 08:30,2/1478,https://xueqiu.com/1505944393/381172899,$海螺水泥(SH600585)$ 如果连续2年不反转，请问隔壁的天山和金隅还能撑得住吗？所以行业无论如何28年都能反转了，天山和金隅可是行业产能第一和第三
雪月霜,381172135,2026-03-26 07:30,2/1478,https://xueqiu.com/1505944393/381172135,回复@勿做蠢事: 上市头部企业估值太高了，给的都是高成长企业估值，非常不合理
雪月霜,381170296,2026-03-26 07:30,2/1478,https://xueqiu.com/1505944393/381170296,$海螺水泥(SH600585)$ 最讽刺的话，就是同样的东西需要反复的说不断的说，当初在碳酸锂不断强调确实目前行业困难时候才有低估值，看不清准确反转时间很正常，我也不确定，但是当你都看清楚时候，估值还是那个估值吗
雪月霜,381169729,2026-03-26 07:30,2/1478,https://xueqiu.com/1505944393/381169729,"连续三个季度以上出现利润停止下滑，说明企业大体上不会更坏了，这说明到底部了，估值趋势跟分红没有关系，而是跟利润趋势，虽然更高的分红可以提升估值但是核心还是利润变动，你说的财务数据这种有用但是没多大意义，那是行业内选择企业用的，不是选行业用的，行业不看个别企业财务数据，而是整体，实际上行业大于企业，实际上核心是水泥何时反转，最后海螺从企业角度是行业内最优秀的企业，这一点也不需要质疑
连续三个季度以上出现利润停止下滑，说明企业大体上不会更坏了，这说明到底部了，估值趋势跟分红没有关系，而是跟利润趋势，虽然更高的分红可以提升估值但是核心还是利润变动，你说的财务数据这种有用但是没多大意义，那是行业内选择企业用的，不是选行业用的，行业不看个别企业财务数据，而是整体..."
雪月霜,381092183,2026-03-25 16:15,2/1478,https://xueqiu.com/1505944393/381092183,"所有股票上行阶段都有回撤，如果接受不了，劝你退出股市吧，哪怕中远海控，中间都有大的回撤，股票买卖从来不是看股价短期涨跌，我不断举例就是22年4月中国船舶从30回撤到14多，请问船周期发生变化了吗，没有好吧，既然没有就不要胡乱动，除非你有很明确的标的会更好才会动的，不然拿着就行，因为估值是跟随利润的趋势，目前股市新手太多了，很多人问的让人无语
所有股票上行阶段都有回撤，如果接受不了，劝你退出股市吧，哪怕中远海控，中间都有大的回撤，股票买卖从来不是看股价短期涨跌，我不断举例就是22年4月中国船舶从30回撤到14多，请问船周期发生变化了吗，没有好吧，既然没有就不要胡乱动，除非你有很明确的标的会更好才会动的，不然拿着就行，因为..."
雪月霜,381088547,2026-03-25 15:56,2/1478,https://xueqiu.com/1505944393/381088547,回复@相对守恒论: 如果你不了解，就不要换了，免得两处挨打，最终走势差不多，没有确定的话认知，你就不要乱换好吧，又不是中矿不涨，其他都涨，这种切换本身也不是你们该做的，买的哪个老老实实持有就行了，上行周期都会不错的表现的
雪月霜,381077205,2026-03-25 15:03,2/1478,https://xueqiu.com/1505944393/381077205,天齐赣锋是龙头，不需要去挖掘，实际上买碳酸锂的都会配这个，只是不明说罢了，之所以谈论中矿和其他的是因为过去他们不是龙头罢了，买锂矿去吹天齐和赣锋的属于多此一举，因为弹性最高的一定不是这两个，不要觉得不怎么谈论就觉得没人买，只是没必要
雪月霜,381076336,2026-03-25 14:58,2/1478,https://xueqiu.com/1505944393/381076336,回复@我爱爬楼梯呀: 早就知道了，本来价格上去就有额外税收，无论是锂矿，铜矿还是其他的都一样，包括煤炭石油，这个不算什么，因为不是写暴利税吗，得有暴利好吧，很多人不知道目前华友镍是暴利
雪月霜,381073466,2026-03-25 14:48,2/1478,https://xueqiu.com/1505944393/381073466,"妖孽啊

妖孽啊"
雪月霜,381071522,2026-03-25 14:40,2/1478,https://xueqiu.com/1505944393/381071522,那是下行周期吧
雪月霜,381071230,2026-03-25 14:39,2/1478,https://xueqiu.com/1505944393/381071230,回复@旁观者STONE-BRIDGE: 主要是估值原因
雪月霜,381070384,2026-03-25 14:37,2/1478,https://xueqiu.com/1505944393/381070384,回复@Young深浦霖: 你没看见我每次讨论都是$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$ 这三家企业吗，不会觉得我随便关联的吧，某些人还一个劲问我看好哪一个
雪月霜,381069055,2026-03-25 14:33,2/1478,https://xueqiu.com/1505944393/381069055,回复@萧瑟chaos: 是的，就那几家头部企业，国内矿目前估值太高，请问怎么选都一样其实主要是看估值哪个低买哪个
雪月霜,381065041,2026-03-25 14:17,2/1478,https://xueqiu.com/1505944393/381065041,借你吉言
雪月霜,381064890,2026-03-25 14:17,2/1478,https://xueqiu.com/1505944393/381064890,回复@是会飞的小猪: 我觉得这不是坏事，因为成本会转移的，主要是供需，如果镍印尼控制出口镍是可以涨价的还有成本提升也可能减产
雪月霜,381059458,2026-03-25 13:57,2/1478,https://xueqiu.com/1505944393/381059458,回复@MMroh: 这不算利空，首先得有暴利，我觉得这是好事说明印尼有动力抬升镍价
雪月霜,381058630,2026-03-25 13:53,2/1478,https://xueqiu.com/1505944393/381058630,回复@要克服犹豫: 应该不是吧，津巴布韦公布暂停出口是一块大跌的，资本短期没那么理性
雪月霜,381058205,2026-03-25 13:52,2/1478,https://xueqiu.com/1505944393/381058205,回复@熠桶金山: 恩，你忘了镍涨价吗，一季报财报出来后你就明白了
雪月霜,381057883,2026-03-25 13:50,3/1478,https://xueqiu.com/1505944393/381057883,回复@不可思亿: 恩，能到150就烧高香了，200难度太大了
雪月霜,381057518,2026-03-25 13:49,3/1478,https://xueqiu.com/1505944393/381057518,回复@两年一股: 恩
雪月霜,381037812,2026-03-25 11:59,3/1478,https://xueqiu.com/1505944393/381037812,回复@不可思亿: 华友硫酸锂产线建好了，目前调试中，中矿需要明年了，但是二者调整都差不多，所以华友等于被错杀了，实际上没那么复杂
雪月霜,381036911,2026-03-25 11:53,3/1478,https://xueqiu.com/1505944393/381036911,回复@杨凯1987: 其实华友跌的也多
雪月霜,381036401,2026-03-25 11:50,3/1478,https://xueqiu.com/1505944393/381036401,回复@不畏险阻: 我知道，我打算如果5月份其他锂矿起来后，如果还是低迷就切一部分试一试
雪月霜,381035308,2026-03-25 11:45,3/1478,https://xueqiu.com/1505944393/381035308,回复@不畏险阻: 我觉得这个未来是个机会
雪月霜,381035017,2026-03-25 11:43,3/1478,https://xueqiu.com/1505944393/381035017,回复@gustywind: 其实没问题
雪月霜,381033877,2026-03-25 11:39,3/1478,https://xueqiu.com/1505944393/381033877,回复@R的小披萨店: 你怎么知道我天齐只有20%仓位
雪月霜,381033277,2026-03-25 11:38,3/1478,https://xueqiu.com/1505944393/381033277,回复@Zack知行合一: 不对吧，古巴还产钴和镍吗，怎么没听说过
雪月霜,381033162,2026-03-25 11:35,3/1478,https://xueqiu.com/1505944393/381033162,回复@理查德亨利: 恩我切了，华友钴业调整非常大，也是受津巴布韦影响，但是他的硫酸锂产线已经建完了，理论上不受影响才对，而且我预期今年华友利润差不多接近100亿，目前估值还行，中矿如果矿出不来，利润可能只有20～30亿
雪月霜,381032511,2026-03-25 11:32,3/1478,https://xueqiu.com/1505944393/381032511,回复@Zack知行合一: 这是什么逻辑
雪月霜,381032027,2026-03-25 11:31,3/1478,https://xueqiu.com/1505944393/381032027,回复@招财猪一只: 可以先做其他锂矿等下半年再赌中矿开放
雪月霜,381031557,2026-03-25 11:29,3/1478,https://xueqiu.com/1505944393/381031557,回复@靠谱的躺赢小椰子: 那你这个月怎么熬过来的
雪月霜,381031477,2026-03-25 11:29,3/1478,https://xueqiu.com/1505944393/381031477,回复@忠信的涨幅魔术师: 30%
雪月霜,381031136,2026-03-25 11:28,3/1478,https://xueqiu.com/1505944393/381031136,回复@右己: 我想华友既然也跌了那么多几乎差不多所以换了一些，我觉得华友受津巴布韦影响下跌，是被市场错杀了
